"Date","Price","Open","High","Low","Vol.","Change %"
"06/01/2024","0.112613","0.112847","0.112874","0.112528","214.06M","0.30%"
"05/31/2024","0.112272","0.111990","0.112578","0.110974","315.08M","0.25%"
"05/30/2024","0.111990","0.112102","0.112250","0.110778","289.53M","-0.11%"
"05/29/2024","0.112110","0.111181","0.112447","0.110965","318.37M","0.84%"
"05/28/2024","0.111181","0.112557","0.112584","0.110374","393.10M","-1.22%"
"05/27/2024","0.112554","0.113131","0.113253","0.110875","425.87M","-0.51%"
"05/26/2024","0.113131","0.113780","0.114115","0.112801","217.97M","-0.57%"
"05/25/2024","0.113780","0.115471","0.116054","0.113175","325.19M","-1.46%"
"05/24/2024","0.115471","0.115321","0.115708","0.113309","400.10M","0.13%"
"05/23/2024","0.115322","0.120086","0.120087","0.113825","440.65M","-3.97%"
"05/22/2024","0.120090","0.123613","0.123842","0.120043","302.53M","-2.85%"
"05/21/2024","0.123613","0.124415","0.124582","0.122803","369.94M","-0.64%"
"05/20/2024","0.124416","0.121170","0.124432","0.120925","351.85M","2.68%"
"05/19/2024","0.121171","0.123007","0.123156","0.120541","246.62M","-1.51%"
"05/18/2024","0.123030","0.124346","0.124566","0.122984","220.62M","-1.06%"
"05/17/2024","0.124346","0.124993","0.125083","0.123969","307.58M","-0.52%"
"05/16/2024","0.124992","0.126323","0.126643","0.124264","381.02M","-1.06%"
"05/15/2024","0.126338","0.125460","0.126539","0.125284","244.57M","0.70%"
"05/14/2024","0.125460","0.125610","0.125848","0.124753","272.11M","-0.16%"
"05/13/2024","0.125658","0.127374","0.127516","0.125620","330.00M","-1.35%"
"05/12/2024","0.127376","0.126385","0.127396","0.126365","163.05M","0.78%"
"05/11/2024","0.126385","0.127422","0.127650","0.125911","255.28M","-0.81%"
"05/10/2024","0.127421","0.126204","0.127464","0.124249","467.44M","0.96%"
"05/09/2024","0.126203","0.122931","0.127029","0.122931","510.08M","2.66%"
"05/08/2024","0.122932","0.120522","0.123734","0.120300","547.03M","2.00%"
"05/07/2024","0.120522","0.118639","0.121372","0.118180","397.92M","1.59%"
"05/06/2024","0.118639","0.121079","0.122012","0.118402","398.81M","-2.02%"
"05/05/2024","0.121079","0.122274","0.122318","0.120736","247.92M","-0.98%"
"05/04/2024","0.122274","0.122654","0.123558","0.122264","270.21M","-0.31%"
"05/03/2024","0.122652","0.122252","0.123850","0.121862","340.83M","0.33%"
"05/02/2024","0.122251","0.120460","0.123361","0.120117","487.92M","1.49%"
"05/01/2024","0.120460","0.119579","0.121058","0.117168","699.59M","0.76%"
"04/30/2024","0.119550","0.119010","0.120786","0.117882","763.80M","0.43%"
"04/29/2024","0.119035","0.121241","0.121413","0.117759","422.82M","-1.82%"
